epoch,train_loss,dev_eer,dev_auc,dev_acc
1,0.12871273668311167,0.16454553378857548,0.909455893912587,0.7764852680727741
2,0.0850227512824338,0.14880244761645653,0.9304714392174026,0.7763242634036387
3,0.07372129326077123,0.15271579361230292,0.928604758848973,0.829818064723877
4,0.06692064807664418,0.15353434368696556,0.9260357135112057,0.8849621639027532
5,0.06315527452409878,0.1453768660730832,0.9313681090553303,0.8707535018515536
6,0.05973489509265755,0.15258124032920284,0.9281598300080156,0.8624215102237965
7,0.05535823419467026,0.16288600809206688,0.9217031030761231,0.8812590565126389
8,0.05464593640831721,0.18026619441351102,0.9124210036337133,0.8655611012719369
9,0.054307577917550476,0.16054248560399564,0.9245506546992401,0.8630252777330543
10,0.05126686975054613,0.1688345165009781,0.9195799987213567,0.8582353888262759
11,0.050573975393230094,0.16436612941110865,0.9216631806734452,0.8840363870552246
12,0.05099538553761534,0.19653629854690902,0.9014423957046592,0.8621800032200934
13,0.050964440671335154,0.18435334720126353,0.9100180288021477,0.8590001610046691
14,0.04981934760761036,0.17440738819333318,0.9136844649468631,0.888786024794719
15,0.046278353749977685,0.19432732934193797,0.9037234822305175,0.895548220898406
