epoch,train_loss,dev_eer,dev_auc,dev_acc
1,0.0952676876839265,0.11419905380385156,0.950211051858849,0.8958702302366769
2,0.055972161492181635,0.1055089606431295,0.958936050718209,0.9052487522138142
3,0.044955253946889186,0.10577806720932972,0.9628359748304391,0.9081468362582515
4,0.04064675163539307,0.08950236549037104,0.9691335402257285,0.9172436000644019
5,0.040388869960374774,0.09116189118687965,0.9680754117288217,0.9105619062952826
6,0.036408538504014154,0.09213182250626505,0.9700007611308166,0.906657543068749
7,0.03359138953042275,0.0792872999162404,0.9734288158212693,0.928030912896474
8,0.031730068320741656,0.09726178084051375,0.9669288044148684,0.9393012397359524
9,0.033327515904444514,0.08784283979386243,0.973213581615473,0.9431251006279182
10,0.031167481216720187,0.07722971195599211,0.9763428519747718,0.9443728868137176
11,0.02923607722429707,0.08338005028955359,0.9759519803201566,0.9318950249557237
12,0.0274431096629142,0.09587136171020536,0.9680084959379133,0.8945821928835936
13,0.030601915681897608,0.07886681210531743,0.9733887085926528,0.8899935598132346
14,0.028172847282778475,0.07563746290103358,0.9769433514483875,0.9501288037353083
15,0.02709166183803521,0.0837949405149159,0.9714333909849441,0.9561262276606022
