epoch,train_loss,dev_eer,dev_auc,dev_acc
1,0.04526318421629914,0.035993812942913365,0.9950970607254246,0.9379327000483014
2,0.019171707455796858,0.03360543936047547,0.9955436882047678,0.9533086459507326
3,0.014074586238198341,0.02230831473104269,0.9978122417717605,0.9865158589599098
4,0.013319787472689052,0.021601892392296818,0.9979105515684786,0.9879246498148446
5,0.014663302468743625,0.0309984078917648,0.9966666201961452,0.9626066655933022
6,0.0116062764649355,0.027550400801208123,0.9970277964833363,0.9834567702463372
7,0.011863685154794202,0.02186540137293634,0.9982716486445534,0.98756238930929
8,0.013711063967176645,0.02586844955751616,0.9972980296076368,0.7736676863629045
9,0.01462436261178795,0.01954430443204854,0.9984916971259814,0.9801964256963452
10,0.014939582320536583,0.0254703872937765,0.9976629024135943,0.9768555788117855
11,0.012634033077654053,0.02164674348666351,0.9982183307619645,0.9833360167444856
12,0.013938777688655847,0.020009643337338238,0.998640402795216,0.9809209467074546
13,0.011581289041490155,0.01961158107359858,0.9985844269396092,0.9890919336660763
14,0.012659280488988234,0.021271106770107254,0.9982953767745402,0.9736757365963613
15,0.014328043278265624,0.02127670435566789,0.9985247017578249,0.9896957011753341
