epoch,train_loss,dev_eer,dev_auc,dev_acc
1,0.059825181193103746,0.06264155906628613,0.9868394778628516,0.942078570278538
2,0.026783318290379783,0.035881685206996576,0.9946254201357615,0.9265818708742554
3,0.023975441942447936,0.03515283732106736,0.9954816747018423,0.9543954274673966
4,0.019877254705468063,0.028677310950877003,0.9965792239310232,0.9735147319272259
5,0.027844682094839916,0.040905113390889175,0.9939717876054951,0.9787071325068427
6,0.026013326010658713,0.03997443558030978,0.9950453974750453,0.9731524714216713
7,0.03730348687533838,0.035713616820413685,0.99341218747166,0.9803171791981967
8,0.03396323316556624,0.031211573807298866,0.993818998163147,0.9813637095475769
9,0.02674485095215182,0.023878138238817924,0.9968815727624163,0.9762920624698116
10,0.022191602510082335,0.0254703872937765,0.9972079841707322,0.9508130735791338
11,0.022304253731072653,0.02518445276595363,0.9969264238567829,0.9558042183223313
12,0.02029552345492175,0.026686999632178767,0.9969184763414349,0.9539526646272742
13,0.018870593087088647,0.020850618959184247,0.9971882870064479,0.9827725004025116
14,0.019888532970693634,0.0208281934120009,0.9973626570774042,0.9832555144099179
15,0.016971381608663908,0.021226255675740505,0.9977093289290544,0.9627676702624376
